
No.	单词	解释
681	old	1. adj. 年老的；陈旧的，古老的<br>2. n. 古时
682	cling	vi. 坚持，墨守；紧贴；附着
683	clench	1. vt. 紧握；确定；把…敲弯<br>2. vi. 握紧；钉牢
684	tangled	adj. 纠缠的；缠结的；紊乱的；复杂的
685	clog	1. v. 阻塞；障碍<br>2. n. 障碍；木底鞋
686	clot	1. vi. 凝结<br>2. n. 凝块
687	cleat	1. n. 楔子；系缆墩；栓<br>2. vt. 把…栓住；加栓于
688	clod	1. n. 土块；笨蛋；牛颈肉<br>2. vt. 对…掷土块
689	clumsy	adj. 笨拙的
690	flimsy	1. adj. 脆弱的；浅薄的；易损坏的；不周密的<br>2. n. 薄纸；复写纸；打字纸
691	film	1. n. 胶卷；电影；薄膜；轻烟<br>2. vt. 在…上覆以薄膜；把…拍成电影
692	membrane	n. 膜；薄膜；羊皮纸
693	member	n. 成员；会员；议员
694	coax	1. vt. 哄诱；慢慢将…弄好；哄<br>2. vi. 哄骗；劝诱
695	cock	1. n. 公鸡；雄鸟；龙头；头目<br>2. vt. 使竖起；使耸立；使朝上
696	simpleton	n. 头脑简单的人, 傻子
697	ninny	n. 傻子；笨人
698	coeval	1. adj. 同时代的<br>2. n. 同时代的人
699	eon	n. 永世；无数的年代；[地]极长时期
700	aeon	n. 万古，永世
701	cogency	n. 中肯；力量；肯切
702	cogent	adj. 使人信服的；强有力的
703	collude	vi. 共谋；串通；勾结
704	collusion	n. 共谋；勾结
705	colossal	adj. 巨大的；异常的，非常的
706	colossus	n. 巨人；巨像；巨大的东西
707	harbor	1. vt. 庇护；怀有<br>2. n. 海港；避难所
708	rabid	adj. 激烈的；狂暴的；偏激的；患狂犬病的
709	rage	1. n. 愤怒；狂暴，肆虐；情绪激动<br>2. vi. 大怒，发怒；流行，风行
710	rabies	n. [医]狂犬病，恐水病
711	riot	1. n. 暴乱；放纵；蔓延<br>2. vi. 骚乱；放荡
712	Rhodes	n. 罗兹岛（希腊东南端佐泽卡尼索斯群岛中最大的岛屿）；罗兹市（罗兹岛上的港口城市）
713	attempt	1. n. 企图，试图；攻击<br>2. vt. 企图，试图；尝试
714	rioter	n. 暴徒；暴民；骚乱者
715	property	n. 财产；性质，性能；所有权
716	jeopard	vt. 危及（等于jeopardize）
717	jeopardize	vt. 危及, 损害时 态: jeopardized, jeopardizing, jeopardizes
718	jeopardy	n. 危险；[律]（被告处于被判罪或受处罚的）危险境地
719	stratagem	n. 诡计,计谋; 花招
720	knee	1. n. 膝盖，膝<br>2. vt. 用膝盖碰
721	arch	1. n. 拱门；弓形，拱形<br>2. adj. 主要的
722	ache	1. vi. 疼痛；渴望<br>2. n. 疼痛
723	conclude	1. vt. 结束；推断；决定，作结论<br>2. vi. 决定；推断；断定
724	stay put	熬夜
725	leach	1. n. 过滤；过滤器<br>2. vt. 过滤；萃取
726	fetus	n. 胎儿，胎
727	fecund	adj. 多产的；丰饶的；肥沃的；生殖力旺盛的
728	suckle	1. vt. 给…哺乳；吮吸；养育<br>2. vi. 吃奶
729	womb	1. n. 子宫；发源地<br>2. vt. 容纳
730	umbor	n. 本影，暗影；蚀时的地球
731	vaguely	adv. 暧昧地；含糊地；茫然地
732	foetus	n. 胎儿
733	vague	adj. 不明确的；含糊的；模糊的；暧昧的
734	embryo	1. n. [动]胚胎；[植]胚芽；初期<br>2. adj. 初期的；胚胎的
735	swell	1. vi. 膨胀；[病理]肿胀；隆起<br>2. vt. 使膨胀；使隆起
736	bearing	1. n. 轴承；方位；举止；关系<br>2. v. 忍受（bear的ing形式）
737	hatching	1. n. 剖面线；画影线；孵化<br>2. v. 孵化；给…加影线；策划（hatch的ing形式）
738	brin	n. 单丝；细亚麻平布
739	forth	adv. 向前，向外；自…以后
740	brood	1. vt. 沉思；孵<br>2. n. 一伙；一窝
741	barm	n. 酵母；酵母泡沫（麦芽酒发酵时表面起的）
742	scoop	1. vt. 掘；舀取；抢先获得；搜集<br>2. n. 勺；铲子；凹处；独家新闻
743	shape	1. n. 形状；具体化；模型；身材<br>2. vt. 塑造，使成形；形成；使符合
744	bail	1. n. 保释，保释人；保释金；杓<br>2. vt. 保释，帮助某人脱离困境；往外舀水
745	shove	1. vt. 强使；撞；挤；猛推<br>2. n. 挤；推
746	shuffle	1. v. 拖曳，慢吞吞地走；洗牌；推诿，推卸；搅乱<br>2. n. 拖着脚走；混乱，蒙混；洗牌，洗纸牌
747	scuffle	1. vi. 扭打；乱斗；拖着脚走路<br>2. n. 混战；扭打
748	scuff	1. vt. 使磨损；践踏；拖着脚走<br>2. vi. 磨损；拖着脚走
749	ladle	1. vt. 不分对象予以赠送；以杓舀取<br>2. n. 杓子；长柄杓；钢水包
750	English	1. adj. 英国人的；英国的；英文的<br>2. n. 英语；英国人；英文；英格兰人
751	native	1. adj. 本国的；土著的；与生俱来的；天然的；天赋的<br>2. n. 本地人；土产；当地居民
752	earn	vt. 获得，挣得；赚，赚得；博得；使得到
753	rerouted	v. 改程；改航（reroute的过去式）
754	snap out of it	[口]重新振作起来；从…中迅速恢复过来
755	snap	1. vt. 猛咬；突然折断，拉断；啪地关上<br>2. vi. 咬；厉声说；咯嗒一声关上
756	snout	n. 鼻子；猪嘴；烟草；鼻口部；口吻状物
757	photograph	n. 照片, 相片; vt. & vi. 拍照时 态: photographed, photographing, photographs 形容词: photographable...
758	bite	vt. & vi. 咬, 叮; n. 咬; 咬伤, 叮伤 BITE机内测试装置时 态: bit bitten , bit biting, bites 形容词: bitab...
759	comm	commerce 商业; committee 委员会
760	commerce	n. 贸易，商业
761	commentary	n. 实况报道, 解说词; 评论; 评注形容词: commentarial
762	communication	n. 交流, 交际, 通讯; 信息, 消息; 通信工具, 交通联系形容词: communicational
763	vestibule	n. 门厅,前厅; 火车车厢末端的连廊,通廊; 前庭; vt. 为...设置门廊; 以通廊连接
764	porch	n. 门廊；走廊
765	antechamber	n. 前厅
766	unknown	1. adj. 未知的；陌生的，默默无闻的<br>2. n. 未知的事物，默默无闻的人；[数]未知数
767	camera obscura	暗箱；投像器；针孔照相机
768	lobby	1. n. 大厅；休息室；会客室；游说议员的团体<br>2. vt. 对……进行游说
769	Vesta	n. 短火柴
770	vest	1. n. 背心；汗衫<br>2. vt. 授予；使穿衣
771	load	1. n. 负载，负荷；装载量；工作量<br>2. vi. 装货；装载；加载
772	consternate	vt. 使惊愕,使惊恐时 态: consternated, consternating, consternates
773	consternation	n. 惊愕；惊惶失措；恐怖
774	stratum	n. [地]地层；社会阶层；[生]（组织的）层
775	dismay	1. n. 沮丧，灰心；惊慌<br>2. vt. 使惊慌；使沮丧
776	constitute	vt. 构成, 组成; 建立, 制定; 选定, 任命时 态: constituted, constituting, constitutes 名 词: constituter ...
777	stet	1. vt. 对…加注表示不删，保留<br>2. n. 保留，不删
778	consummate	vt. 使结束, 使完美; 完婚;圆房; adj. 完美的时 态: consummated, consummating, consummates 副 词: consummate...
779	consummation	n. 完成;圆满;完美,极致
780	sum	1. n. 总数；金额<br>2. vi. 概括
781	contaminate	vt. 把…弄脏, 污染时 态: contaminated, contaminating, contaminates 形容词: contaminative 名 词: c...
782	Contamin	康塔明铜锰镍电阻合金
783	contaminant	n. 污染物,致污物
784	tangent	1. adj. 切线的，相切的；接触的；离题的<br>2. n. 切线，正切
785	trigonometric	adj. 三角法的,据三角法的
786	secant	1. adj. 割的；切的；交叉的<br>2. n. 割线；正割
787	contemplate	vt. & vi. 深思, 细想, 仔细考虑; vt. 注视, 凝视时 态: contemplated, contemplating, contemplates 名 词: co...
788	contemplari	vt. & vi. 深思, 细想, 仔细考虑; vt. 注视, 凝视时 态: contemplated, contemplating, contemplates 名 词: co...
789	contemplation	n. 沉思；注视；意图
790	temple	n. 庙宇；寺院；神殿；太阳穴
791	tome	n. 册；大本书
792	for	1. prep. 为，为了；给；因为；对于；适合于；至于<br>2. conj. 因为
793	consecrated	adj. 神圣的,被视为神圣的
794	Watkins	n. 沃特金斯
795	contempt	n. 轻视，蔑视；耻辱
796	scorn	1. n. 轻蔑；嘲笑；藐视的对象<br>2. vt. 不屑做；轻蔑；藐视
797	mockery	n. 嘲弄；笑柄；徒劳无功；拙劣可笑的模仿或歪曲
798	deride	vt. 嘲笑；嘲弄
799	derision	n. 嘲笑；嘲笑的对象
800	Vulgar	1. adj. 粗俗的；通俗的；本土的<br>2. n. [古]平民，百姓
801	Vulgar Latin	民间拉丁文；通俗拉丁语
802	ornament	1. n. 装饰；装饰物；教堂用品<br>2. vt. 装饰，修饰
803	contemn	vt. 侮辱；蔑视
804	despise	vt. 轻视，鄙视
805	temnere	切头类
806	contentious	adj. 容易引起争论的,好争论的副 词: contentiously 名 词: contentiousness
807	contiguous	adj. 接触的,邻近的,共同的副 词: contiguously 名 词: contiguousness
808	contact	1. n. 接触，联系<br>2. vt. 使接触
809	contort	1. vt. 扭曲；曲解<br>2. vi. 扭曲
810	torque	n. 转矩，扭矩；项圈，金属领圈
811	thwart	1. vt. 横过；反对；阻碍；挫败<br>2. adj. 横放的；固执的
812	girdle	1. n. 腰带；围绕物；妇女紧身褡<br>2. vt. 围绕；绕…而行；用带子捆扎
813	gird	1. vt. 束缚；佩带；做准备<br>2. vi. 准备；嘲骂
814	yard	1. n. 码（英制中丈量长度单位，1码=3英尺）；[海]帆桁；院子；庭院<br>2. vt. 把…关进或围在畜栏里
815	contradict	vt. & vi. 反驳, 否认…的真实性; vt. 与…发生矛盾, 与…抵触时 态: contradicted, contradicting, contradicts 形容词: ...
816	participle	n. 分词
817	contradiction	n. 矛盾; 否认, 反驳
818	contra	1. n. 相反；对立面<br>2. adv. 反对地；相反地
819	feminine	adj. 女性的；妇女（似）的；娇柔的；阴性的
820	contravene	vt. 取消,违反时 态: contravened, contravening, contravenes 名 词: contravener
821	contrite	adj. 悔悟了的；后悔的；悔罪的
822	throw	1. vt. 抛；投；掷<br>2. vi. 抛；投掷
823	contumacious	adj. 拒不服从的;违抗法院命令的副 词: contumaciously 名 词: contumaciousness
824	contumely	n. 傲慢;轻侮;侮辱行为;无礼的言行形容词: contumelious 副 词: contumeliously
825	swollen	adj. 肿胀的，浮肿的；浮夸的；激动兴奋的
826	tumid	adj. 肿胀的；浮夸的
827	thigh	n. 大腿，股
828	rump	n. （人的）臀部，（动物的）尾部；残余，渣滓
829	morbidly	adv. 病态地
830	morbid	adj. 由病引起的；病态的；恐怖的；病变部位的
831	conundrum	n. 谜,猜不透的难题,难答的问题
832	ponderous	adj. 沉重的, 笨重的; 呆板的;沉闷的副 词: ponderously 名 词: ponderousness or
833	bilateral	adj. 双边的, 双方的名 词: bilateralism 副 词: bilaterally 名 词: bilateralness
834	lateral	1. adj. 侧面的，横向的<br>2. n. 侧部；边音
835	oblate	1. adj. 扁圆的；扁平的；奉为神圣的<br>2. n. 献身于修道院生活的人
836	borne	v. 忍受；负荷；结果实；生子女（bear的过去分词）
837	prolate	adj. 扁长的；扩展的
838	bear	1. vi. 结果实；承受<br>2. vt. 忍受；具有；支撑
839	challenge	n. 挑战, 邀请比赛; 怀疑, 质问; 艰巨的任务; vt. 挑战; 质疑; 考验时 态: challenged, challenging, challenges 形容词: ...
840	convex	1. adj. 凸面的；凸圆的<br>2. n. 凸面体；凸状
841	vaults	1. n. 保管库；拱顶；撑杆跳；地窖（vault的复数形式）<br>2. v. 给…盖以拱顶；跳跃；跳跃（vault的第三人称单数形式）
842	convoke	vt. 召集；召集…开会
843	convolute	v. 回旋,卷绕,盘旋; adj. 旋绕的时 态: convoluted, convoluting, convolutes 副 词: convolutely
844	convolution	n. 回旋,盘旋,卷绕形容词: convolutional
845	enclose	vt. 围绕；装入；放入封套
846	rectum	n. 直肠
847	algae	n. 藻类；海藻
848	exotic	adj. 外来的；异国的；异国情调的
849	gladiator	n. 斗剑者；古罗马公开表演的格斗者；争论者
850	Mack	1. abbr. [军]军事空运司令部（Millitary Airlift Command）<br>2. n. [俚]老弟；老兄（常用作呼唤语）；橡胶雨衣
851	mock	1. vt. 嘲弄；模仿；使…失望；使…无效<br>2. vi. 嘲弄，嘲笑
852	Hemet	n. 血液新陈代谢
853	successive	adj. 连续的, 相继的副 词: successively 名 词: successiveness
854	succeed	1. vi. 成功；继承；继任；兴旺<br>2. vt. 继承；接替；继…之后
855	squalor	n. 肮脏；悲惨；卑劣；道德败坏
856	squalid	adj. 肮脏的；污秽的；卑劣的
857	sewage	n. 污水；污物；下水道
858	sewer	1. n. 下水道；阴沟；裁缝师<br>2. vt. 为…铺设污水管道；用下水道排除…的污水
859	privy	1. adj. 私人的；不公开的；秘密参与的<br>2. n. [律]有利害关系的人；厕所
860	pickle	1. n. 盐卤；泡菜；腌制食品<br>2. vt. 泡；腌制
861	excrement	n. 排泄物形容词: excremental 形容词: excrementitious
862	crisis	1. n. 危机；决定性时刻；危险期<br>2. adj. 危机的；用于处理危机的
863	cemetery	n. 墓地；公墓
864	prestige	n. 威望，声望；声誉
865	prestigious	adj. 受尊敬的, 有声望的, 有威信的副 词: prestigiously 名 词: prestigiousness
866	vantage	n. 有利情况；优势
867	juvenal	adj. 雏鸟的，羽毛未丰的
868	upheaval	n. 剧变；隆起；举起
869	copious	adj. 丰富的；很多的；多产的
870	opus	n. 作品
871	opera	n. 歌剧；歌剧团；歌剧院
872	opulent	adj. 富裕的；丰富的；大量的
873	corona	n. 日冕；电晕；冠状物
874	corporeal	adj. 肉体的, 身体的, 物质的名 词: corporeality 副 词: corporeally
875	corroborate	vt. 证实,支持; n. 确证者;确证物时 态: corroborated, corroborating, corroborates 名 词: corroboration ...
876	collaborate	vi. 合作; 勾结叛国; n. 协作者,合作者;勾结者时 态: collaborated, collaborating, collaborates 名 词: collabor...
877	collaborator	n. 合作者;共同研究者; 通敌者
878	indigenous	adj. 土生土长的; 生来的, 固有的副 词: indigenously 名 词: indigenousness
879	collaspe	胶质素
880	collapse	1. vi. 倒塌；瓦解；暴跌<br>2. vt. 使倒塌，使崩溃；使萎陷
881	lapse	1. n. 流逝；过失；失效<br>2. vi. 失效；流逝；背离，失检；陷入
882	elapse	1. vi. 时间过去；消逝<br>2. n. 时间的过去；流逝
883	forfeiture	n. 没收;丧失
884	forfeit	1. n. 罚金；没收物；丧失的东西<br>2. adj. 因受罚而丧失的；被没收的
885	coma	n. 昏迷；彗形像差
886	sluggishness	不振,萧条,呆滞
887	tufted	1. adj. 成簇状的；植绒的；装缨球的；用穗饰的<br>2. v. 用丛毛装饰（tuft的过去式）
888	comet	n. 彗星
889	comatic	adj. 昏睡状态的；昏迷的；麻木的；怠惰的
890	comely	adj. 清秀的，标致的
891	becoming	1. adj. 合适的，适当的<br>2. n. （变化过程的）形成，发生
892	glorious	adj. 光荣的；辉煌的；极好的
893	delicate	adj. 微妙的；易碎的；清淡可口的；柔和的；精美的，雅致的；纤弱的
894	feeble	adj. 微弱的，无力的；虚弱的；薄弱的
895	commencement	n. 开始, 开端; 毕业典礼, 学位授予典礼
896	incipient	adj. 开始的,初期的名 词: incipiency or 副 词: incipiently
897	commend	1. vt. 推荐；称赞；把…委托<br>2. vi. 表扬；称赞
898	mandate	1. n. 命令，指令；委托管理；授权；受命进行的工作<br>2. vt. 托管；授权
899	commensurate	adj. 相等的; 相称的,相当的副 词: commensurately 名 词: commensuration
900	measure	1. n. 措施；程度；测量；尺寸<br>2. vt. 测量；估量；权衡
901	commingle	vt. & vi. 混合,掺和,合并时 态: commingled, commingling, commingles
902	mingle	1. vi. 混合；交往<br>2. vt. 使相混；使混合
903	macerate	1. vt. 把…浸软；使…消瘦<br>2. vi. 浸软；消瘦
904	knead	vt. 按摩；捏制；揉合，揉捏
905	commodious	adj. 宽敞的副 词: commodiously 名 词: commodiousness
906	roomy	adj. 宽敞的；广阔的；宽大的
907	spacious	adj. 宽敞的，广阔的；无边无际的
908	fertile	1. adj. 富饶的，肥沃的；能生育的<br>2. n. 肥沃，多产
909	mode	n. 方式；模式；风格；时尚
910	cap	1. n. 帽子；盖<br>2. vi. 脱帽致意
911	compendium	n. 摘要,纲要
912	complaisance	n. 殷勤；彬彬有礼；柔顺
913	complacence	n. 自满,沾沾自喜;满足,满意
914	complementary	adj. 互补的副 词: complementarily 名 词: complementariness
915	ceremonious	adj. 好礼仪的,讲究礼节的,正式的副 词: ceremoniously 名 词: ceremoniousness
916	compliant	adj. 遵从的,依从的,顺从的,屈从的副 词: compliantly
917	comply	vi. 答应；遵守；顺从，遵从
918	ply	1. vt. 使用，不住地使用；折，弯；从事<br>2. vi. 辛勤工作；定期地来往（船、车等）
919	braid	1. vt. 编织<br>2. n. 辫子；穗带；发辫
920	plait	1. n. 褶；辫状物<br>2. vt. 编织；把…编成辫（等于pleat）；给…打褶
921	complicate	vt. 使复杂化时 态: complicated, complicating, complicates
922	recorded	1. adj. 记录的<br>2. v. 记录；录音（record的过去分词）
923	complication	n. 困难, 难题; 〈医〉并发症
924	compliment	n. 赞美, 恭维; 向…送礼以表示敬意; vt. 表扬; 恭维时 态: complimented, complimenting, compliments
925	hypocrisy	n. 伪善, 虚伪
926	complement	n. 补充, 互为补充的东西; 需要的或允许的数额; 补足语; vt. 补足, 补充时 态: complemented, complementing, complements
927	obligation	n. 义务; 责任形容词: obligational
928	complete	1. adj. 完全的；完整的；彻底的<br>2. vt. 完成
929	compunction	n. 内疚, 后悔, 懊悔形容词: compunctious 副 词: compunctiously
930	concatenate	vt. 把 联系起来; adj. 连接的;联系在一起的时 态: concatenated, concatenating, concatenates 名 词: concatena...
931	concatenation	n. 一系列互相关联的事物
932	chain	1. n. 链；束缚；枷锁<br>2. vt. 束缚；囚禁；用铁练锁住
933	concave	1. adj. 凹的，凹面的<br>2. n. 凹面
934	cave	1. vt. 使凹陷，使塌落；在…挖洞穴<br>2. vi. 凹陷，塌落；投降
935	conciliate	vt. 使息怒或友好;安抚,劝慰; vt. & vi. 意见一致;调节; n. 安抚者,劝慰者; adj. 意图或可能抚慰或调解的时 态: conciliated, conciliati...
936	council	n. 理事会；会议；委员会；顾问班子；地方议会
937	counsel	1. n. 忠告；讨论；商议；决策；法律顾问<br>2. vt. 劝告；建议
938	concord	n. 和睦；和谐；一致；协调
939	condescend	vi. 屈尊, 俯就; 故意表示和蔼可亲时 态: condescended, condescending, condescends 名 词: condescender
940	condescending	adj. 降低身份的,屈尊的; 高傲的；傲慢的副 词: condescendingly
941	condescension	n. 屈尊;俯就
942	patronizing	adj. 俨然以恩人态度的,要人领情的
943	condign	adj. 相当的；应得的（尤指惩罚）；适宜的
944	condole	vi. 慰问；吊唁；哀悼
945	grieve	1. vt. 使悲伤，使苦恼<br>2. vi. 悲痛，哀悼
946	condone	vt. 宽恕；赦免
947	donation	n. 捐赠；捐款，捐赠物
948	conducive	adj. 导致…的, 有助于…的名 词: conduciveness
949	conduce	vi. 导致；有益，有贡献于
950	conflagration	n. 大火；快速燃烧；突发；冲突
951	flagrant	adj. 非常的；公然的；不能容忍的；恶名昭著的（名词flagrancy，副词flagrantly）
952	black	adj. 黑色的, 黑暗的; 黑人的; 暗淡的, 毫无希望的; n. 黑色; 黑人 Black布莱克比较级: blacker, blackest 形容词: blackish ...
953	conflate	vt. 合并；异文合并
954	confound	vt. 挫败；使混淆；讨厌；使混乱
955	found	1. vt. 创立，建立；创办<br>2. v. 找到（find的过去分词）
956	smelt	1. vt. 熔炼，冶炼；精炼<br>2. n. 胡瓜鱼；香鱼
957	conjure	1. vt. 念咒召唤；用魔法变出；想象<br>2. vi. 以念咒召唤神灵；施魔法，变魔术
958	jury	1. n. 陪审团；评判委员会<br>2. adj. 应急的
959	jurist	n. 法官；律师；法学家；法律著作家
960	connive	vi. 默许；共谋；纵容
961	nictitate	vi. 眨眼时 态: nictitated, nictitating, nictitates 名 词: nictitation
962	nicere	麦角溴烟酯
963	connoisseur	n. 鉴赏家,鉴定家;行家名 词: connoisseurship
964	corrugate	vt. 起皱褶,起皱纹,起波纹; n. 皱; 车辙; 畦,沟时 态: corrugated, corrugating, corrugates 形容词: corrugate or
965	rough	1. adj. 粗糙的；粗野的；未经加工的；粗略的；艰苦的<br>2. vt. 使粗糙；粗暴对待；草拟
966	cosmopolitan	adj. 世界性的名 词: cosmopolitanism
967	cosmopolite	1. n. 世界公民，世界主义者<br>2. adj. 世界主义的
968	politic	1. adj. 精明的；有策略的；狡猾的；审慎的<br>2. vi. 拉选票
969	cosset	1. vt. 宠爱；溺爱；纵容<br>2. n. 宠儿；爱畜；供玩赏的小动物
970	lamb	1. n. 羔羊，小羊；羔羊肉<br>2. vt. 生小羊，产羔羊
971	fondle	1. vt. 抚弄；爱抚<br>2. vi. 调戏；爱抚
972	fond	adj. 喜欢的；温柔的；宠爱的
973	cot	n. 简易床；小屋；轻便小床
974	countenance	n. 面容,表情; 镇静,沉着自若; 道义支持; vt. 支持,赞同,批准时 态: countenanced, countenancing, countenances 名 词: ...
975	demeanor	n. 行为；举止；风度
976	conduct	1. vi. 带领；导电<br>2. vt. 管理；表现；引导
977	betray	vt. 背叛；出卖；泄露（秘密）；露出…迹象
978	counterpart	n. 与对方地位相当的人, 与另一方作用相当的物
979	covert	1. n. 隐藏处；树丛；蔽覆羽翮基部的羽毛<br>2. adj. 隐密的；隐蔽的；偷偷摸摸的；在丈夫保护下的
980	cow	1. n. 奶牛，母牛；母兽<br>2. vt. 威胁，恐吓
981	imitative	adj. 模仿的,仿效的; adv. 模仿地,仿效地副 词: imitatively 名 词: imitativeness
982	other	1. adj. 其他的，另外的<br>2. pron. 另外一个
983	most	1. adv. 最；最多；非常，极其；几乎<br>2. adj. 最多的；大部分的，多数的
984	oppress	vt. 压迫，压抑；使……烦恼；使……感到沉重
985	herd	1. n. 兽群，畜群；放牧人<br>2. vi. 成群，聚在一起
986	cower	vi. 退缩；抖缩；蜷缩；[英方]弯腰屈膝
987	squat	1. vi. 蹲，蹲下；蹲伏；蹲坐<br>2. vt. 使蹲坐，使蹲下
988	lie in wait	lie in wait v. wait in hiding to attack synonymous： ambush, scupper, bushwhack, waylay, lurk, ...
989	Norwegian	挪威人, 挪威语
990	doze	1. vi. 打瞌睡；假寐<br>2. vt. 打瞌睡度过
991	coy	1. adj. 腼腆的；忸怩作态的；怕羞的<br>2. vi. [古]忸怩作态
992	cozen	1. vt. 欺骗；瞒<br>2. vi. 欺骗；瞒
993	pretext	1. n. 托辞；借口<br>2. vt. 以…为借口
994	crass	adj. 非常的；愚钝的；粗鲁的
995	grossly	adv. 很；非常
996	craven	1. adj. 怯懦的；畏缩的<br>2. n. 懦夫
997	cowardly	1. adj. 怯懦的，懦弱的；胆小的<br>2. adv. 胆怯地
998	coward	1. n. 懦夫，懦弱的人<br>2. adj. 胆小的，懦怯的
999	defeated	1. v. 被击败，失败（defeat的过去式）<br>2. adj. 挨打的，被打败的
1000	crescendo	n. 渐强
1001	crescent	1. n. 新月；新月状物；伊斯兰教的标记；土耳其的新月形国徽<br>2. adj. 新月形的；逐渐增加的
1002	crony	n. 密友；好朋友
1003	contemporary	adj. 当代的; 同时代的, 同属一个时期的; n. 同代人, 同龄人副 词: contemporarily
1004	temporal	1. adj. 现世的；暂时的；当时的<br>2. n. 世间万物；暂存的事物
1005	crook	1. n. 弯处，弯曲部分；钩状物；骗子，坏蛋<br>2. vt. 使弯曲；欺骗，诈骗
1006	crok	n. 〈美方〉番红花属,番红花,磨粉 Croker克罗克
1007	swindler	n. 骗子
1008	croon	1. vi. 低声歌唱；满怀柔情地唱流行歌曲<br>2. vt. 柔情地唱；对…低声唱
1009	lament	1. n. 挽歌；恸哭；悲痛之情<br>2. vi. 悲叹；悔恨；哀悼
1010	lamentation	n. 悲叹，哀悼；恸哭
1011	mourn	v. 哀悼；服丧；忧伤
1012	bemoan	1. vt. 惋惜；为…恸哭<br>2. vi. 叹息
1013	bull	1. n. 公牛；看好股市者；粗壮如牛的人；[俚]胡说八道；印玺<br>2. adj. 公牛似的；雄性的；大型的
1014	bellow	1. vt. 大声喊叫；大声发出<br>2. vi. 吼叫；怒吼；咆哮
1015	crouch	1. vi. 蹲伏，蜷伏；卑躬屈膝<br>2. vt. 低头；屈膝
1016	crochet	1. n. 钩边；钩针编织品<br>2. vt. 用钩针编织
1017	crumple	1. vt. 弄皱；使一蹶不振<br>2. vi. 起皱；倒坍；一蹶不振
1018	cultivate	vt. 耕作, 种植; 陶冶思想; 培养时 态: cultivated, cultivating, cultivates 形容词: cultivatable
1019	cult	1. n. 礼拜；祭仪（尤其指宗教上的）；狂热信徒<br>2. adj. 狂热崇拜的
1020	culture	1. n. 文化，文明；修养；栽培<br>2. vt. 培养（等于cultivate）
1021	cumber	1. vt. 阻碍，妨害；使受苦<br>2. n. 妨害；拖累，累赘
1022	rumple	1. vt. 弄皱；弄得乱七八糟<br>2. vi. 弄皱；变凌乱
1023	cursory	adj. 粗略的；草率的；匆忙的
1024	curt	adj. 简略的；简要的；草率的；简单粗暴的
1025	shear	1. vt. 修剪；剪；剥夺<br>2. vi. 剪；修剪；剪切
1026	mutilate	vt. 切断，毁坏；使…残缺不全；使…支离破碎
1027	mutilation	n. 切断；毁损；残缺
1028	curtail	vt. 剪短；缩减；剥夺…特权等
1029	pejorative	adj. 轻蔑的,贬损的; n. 轻蔑语副 词: pejoratively
1030	peccadillo	n. 轻罪,小过失
1031	cynic	1. n. 愤世嫉俗者；犬儒学派的人<br>2. adj. 犬儒学派的
1032	hound	1. vt. 追猎；烦扰；激励<br>2. n. 猎犬；卑劣的人
1033	Antisthenes	安提西尼
1034	canine	1. adj. 犬科的；犬的；似犬的；犬齿的<br>2. n. 犬齿；犬
1035	Avestan	n. 阿维斯陀语(古波斯琐罗亚斯德教经典《阿维斯陀》所用的一种古代波斯语）
1036	sarcasm	n. 讽刺；挖苦；嘲笑
1037	sneering	1. adj. 轻蔑的；嘲笑的<br>2. v. 嘲笑（sneer的ing形式）
1038	athenian	1. adj. 雅典的；雅典人的<br>2. n. 雅典人
1039	pupil	n. 学生；瞳孔；未成年人
1040	Diogenes	n. 戴奥真尼斯（希腊的哲学家）
1041	Lucian	n. 琉善（腊修辞学家和讽刺诗人）；卢西恩（男子名）
1042	daft	adj. 癫狂的；愚笨的；狂闹的
1043	influence	n. 影响; 感化力; 势力, 权势; 产生影响的人; vt. 影响, 感化时 态: influenced, influencing, influences 形容词: infl...
1044	daffy	adj. 愚笨的；疯狂的
1045	dally	1. vi. 玩弄；闲荡；轻率地对待<br>2. vt. 浪费（时间）
1046	converse	1. adj. 相反的，逆向的；颠倒的<br>2. vi. 交谈，谈话；认识
1047	damn	1. vt. 谴责；罚…下地狱<br>2. vi. 谴责
1048	dampen	1. vt. 抑制；使…沮丧；使…潮湿<br>2. vi. 潮湿；丧气
1049	damp	1. vt. 使潮湿；使沮丧，抑制；使阻尼<br>2. vi. 减幅，阻尼；变潮湿
1050	dazed	1. adj. 茫然的；头昏的<br>2. vt. 使眩晕；使惶惑（daze的过去式）
1051	-en	在家中；非正式地
1052	deaden	1. vt. 使减弱；使麻木；隔阻<br>2. vi. 变得如死一般；失去活力
1053	noxious	adj. 有害的；有毒的；败坏道德的；讨厌的
1054	vapor	1. n. 蒸汽；烟雾<br>2. vt. 使……蒸发；使……汽化
1055	dank	adj. 潮湿的；阴湿的；透水的
1056	dapper	adj. 整洁的；整齐的；短小精悍的；衣冠楚楚的
1057	sturdy	1. adj. 强健的；坚定的；健全的<br>2. n. [医]羊晕倒病
1058	dapple	1. n. 斑纹；花马<br>2. adj. 有斑纹的
1059	daredevil	n. 蛮勇的人,冒失鬼; n. 胆大妄为,蛮干; n. 胆大妄为,蛮干名 词: daredevilry or
1060	daunt	vt. 使气馁，使畏缩；威吓
1061	frequentative	1. n. 反复动词<br>2. adj. 反复的
